service_id,date,exception_type
FESINV2A_010201,20211024,1
FESINV2A_010202,20211024,1
FESINV2A_010201,20211031,1
FESINV2A_010202,20211031,1
FESINV2B_013201,20210613,1
FESINV2B_013202,20210613,1
FESINV2B_013201,20210620,1
FESINV2B_013202,20210620,1
FESINV2B_013201,20210627,1
FESINV2B_013202,20210627,1
FESINV2B_013201,20210704,1
FESINV2B_013202,20210704,1
FESINV2B_013201,20210711,1
FESINV2B_013202,20210711,1
FESINV2B_013201,20210718,1
FESINV2B_013202,20210718,1
FESINV2B_013201,20210725,1
FESINV2B_013202,20210725,1
FESINV2B_013201,20210905,1
FESINV2B_013202,20210905,1
FESINV2B_013201,20210912,1
FESINV2B_013202,20210912,1
FESINV2B_013201,20210919,1
FESINV2B_013202,20210919,1
FESINV2B_013201,20210926,1
FESINV2B_013202,20210926,1
FESINV2B_013201,20211003,1
FESINV2B_013202,20211003,1
FESINV2B_013201,20211010,1
FESINV2B_013202,20211010,1
FESINV2B_013201,20211017,1
FESINV2B_013202,20211017,1
FESINV2B_013201,20211024,1
FESINV2B_013202,20211024,1
FESINV2B_013201,20211031,1
FESINV2B_013202,20211031,1
FESINV33_013301,20210613,1
FESINV33_013301,20210620,1
FESINV33_013301,20210627,1
FESINV33_013301,20210704,1
FESINV33_013301,20210711,1
FESINV33_013301,20210718,1
FESINV33_013301,20210725,1
FESINV33_013301,20210905,1
FESINV33_013301,20210912,1
FESINV33_013301,20210919,1
FESINV33_013301,20210926,1
FESINV33_013301,20211003,1
FESINV33_013301,20211010,1
FESINV33_013301,20211017,1
FESINV33_013301,20211024,1
FESINV33_013301,20211031,1
FESPPV11_011101,20210613,1
FESPPV11_011101,20210620,1
FESPPV11_011101,20210627,1
FESPPV11_011101,20210704,1
FESPPV11_011101,20210711,1
FESPPV11_011101,20210718,1
FESPPV11_011101,20210725,1
FESPPV11_011101,20210905,1
FESPPV11_011101,20210912,1
FESPPV11_011101,20210919,1
FESPPV11_011101,20210926,1
FESPPV11_011101,20211003,1
FESPPV11_011101,20211010,1
FESPPV11_011101,20211017,1
FESPPV11_011101,20211024,1
FESPPV11_011101,20211031,1
FESVER01_010101,20210801,1
FESVER01_010102,20210801,1
